State,County,Year,Population,Unemployment Rate,2019 Median Income
IA,Cherokee County,2001,"12,905",4.5,
IA,Chickasaw County,2001,"13,192",6.2,
IA,Clarke County,2001,"9,207",9.7,
IA,Clay County,2001,"17,256",6,
IA,Clayton County,2001,"18,529",4,
IA,Clinton County,2001,"49,889",4.2,
IA,Crawford County,2001,"16,960",4.2,
IA,Dallas County,2001,"43,204",9.2,
IA,Davis County,2001,"8,588",4.1,
IA,Decatur County,2001,"8,669",5.4,
IA,Delaware County,2001,"18,294",4.8,
IA,Des Moines County,2001,"41,820",5,
IA,Dickinson County,2001,"16,477",3.3,
IA,Dubuque County,2001,"88,932",4.1,
IA,Emmet County,2001,"10,890",3.8,
IA,Fayette County,2001,"21,791",6.3,
IA,Floyd County,2001,"16,660",4.5,
IA,Franklin County,2001,"10,618",7.6,
IA,Fremont County,2001,"7,874",5,
IA,Greene County,2001,"10,150",7.1,
IA,Grundy County,2001,"12,319",6,
IA,Guthrie County,2001,"11,225",3,
IA,Hamilton County,2001,"16,236",7.8,
IA,Hancock County,2001,"11,954",9.4,
IA,Hardin County,2001,"18,669",6.7,
IA,Harrison County,2001,"15,592",4.2,
IA,Henry County,2001,"20,408",5.4,
IA,Howard County,2001,"9,908",5.4,
IA,Humboldt County,2001,"10,335",6,
IA,Ida County,2001,"7,704",2.7,
IA,Iowa County,2001,"15,868",2.4,
IA,Jackson County,2001,"20,267",6.5,
IA,Jasper County,2001,"37,377",3.5,
IA,Jefferson County,2001,"16,207",4.3,
IA,Johnson County,2001,"113,546",4.8,
IA,Jones County,2001,"20,254",3.6,
IA,Keokuk County,2001,"11,369",4,
IA,Kossuth County,2001,"16,912",2.9,
IA,Lee County,2001,"37,435",4.1,
IA,Linn County,2001,"194,359",3.1,
IA,Louisa County,2001,"12,184",3.5,
IA,Lucas County,2001,"9,386",3.4,
IA,Lyon County,2001,"11,684",2.4,
IA,Madison County,2001,"14,144",3.8,
IA,Mahaska County,2001,"22,407",3.5,
IA,Marion County,2001,"32,583",8.7,
IA,Marshall County,2001,"39,414",5.5,
IA,Mills County,2001,"14,497",2.9,
IA,Mitchell County,2001,"10,736",5.3,
IA,Monona County,2001,"9,860",3.6,
IA,Monroe County,2001,"7,986",7.2,
IA,Montgomery County,2001,"11,509",4.5,
IA,Muscatine County,2001,"41,760",3.6,
IA,O'Brien County,2001,"14,950",2.6,
IA,Osceola County,2001,"6,963",4.6,
IA,Page County,2001,"16,822",5,
IA,Palo Alto County,2001,"10,051",3.7,
IA,Plymouth County,2001,"24,847",2.9,
IA,Pocahontas County,2001,"8,465",3.5,
IA,Polk County,2001,"380,108",4.8,
IA,Pottawattamie County,2001,"87,953",3.1,
IA,Poweshiek County,2001,"18,972",3.2,
IA,Ringgold County,2001,"5,415",3.1,
IA,Sac County,2001,"11,403",2.9,
IA,Scott County,2001,"158,203",4.2,
IA,Shelby County,2001,"12,990",2.9,
IA,Sioux County,2001,"31,952",2.4,
IA,Story County,2001,"80,260",2.1,
IA,Tama County,2001,"18,080",3.5,
IA,Taylor County,2001,"6,894",6.8,
IA,Union County,2001,"12,240",5.2,
IA,Van Buren County,2001,"7,716",6.3,
